Airport Code,Airport Name
DEL,Indira Gandhi International Airport
BOM,Chhatrapati Shivaji International Airport
MAA,Chennai International Airport
BLR,Kempegowda International Airport
CCU,Netaji Subhash Chandra Bose International Airport
GOI,Dabolim Airport
HYD,Rajiv Gandhi International Airport
COK,Cochin International Airport
AMD,Sardar Vallabh Bhai Patel International Airport
TRV,Thiruvananthapuram International Airport
JAI,Jaipur International Airport
PNQ,Pune Airport / Lohagaon Air Force Station
,HAL Airport
ATQ,Sri Guru Ram Dass Jee International Airport
BDQ,Vadodara Airport
IXE,Mangalore International Airport
VNS,Lal Bahadur Shastri Airport
BBI,Biju Patnaik Airport
VTZ,Visakhapatnam Airport
CJB,Coimbatore International Airport
GAU,Lokpriya Gopinath Bordoloi International Airport
BPM,Begumpet Airport
CCJ,Calicut International Airport
IXC,Chandigarh International Airport
JDH,Jodhpur Airport
IXM,Madurai Airport
IDR,Devi Ahilyabai Holkar Airport
LKO,Chaudhary Charan Singh International Airport
PAT,Jay Prakash Narayan Airport
IXB,Bagdogra Airport
IXL,Leh Kushok Bakula Rimpochee Airport
NAG,Dr. Babasaheb Ambedkar International Airport
IXZ,Veer Savarkar International Airport / INS Utkrosh
UDR,Maharana Pratap Airport
VGA,Vijayawada Airport
SXR,Sheikh ul Alam International Airport
STV,Surat Airport
,Juhu Aerodrome
BHJ,Bhuj Airport
IXA,Agartala - Maharaja Bir Bikram Airport
IXU,Aurangabad Airport
BHO,Raja Bhoj International Airport
IMF,Imphal Airport
IXJ,Jammu Airport
JRH,Jorhat Airport
IXR,Birsa Munda Airport
RPR,Swami Vivekananda Airport
RJA,Rajahmundry Airport
RAJ,Rajkot Airport
IXS,Silchar Airport
AGX,Agatti Airport
AGR,Agra Airport / Agra Air Force Station
DBR,Darbhanga Airport
DIB,Dibrugarh Airport
GDB,Gondia Airport
CNN,Kannur International Airport
ISK,Nashik Airport
,Ambala Air Force Station
KUU,Kullu Manali Airport
PUT,Sri Sathya Sai Airport
SLV,Shimla Airport
TIR,Tirupati Airport
,Kalaikunda Air Force Station
IXG,Belagavi Airport
JGA,Jamnagar Airport
IXD,Prayagraj Airport
KNU,Kanpur Airport
HJR,Khajuraho Airport
IXW,Sonari Airport
IXK,Keshod Airport
DIU,Diu Airport
,INS Garuda / Willingdon Island Naval Air Station
DGH,Deoghar Airport
,Baramati Airport
,Bokaro Airport
,Bhiwani Airport
,Harihar Airport
,Hakimpet Airport
,Gandhinagar Airport
TEZ,Tezpur Airport
BHU,Bhavnagar Airport
DED,Dehradun Jolly Grant Airport
GAY,Gaya Airport
JLR,Jabalpur Airport
PBD,Porbandar Airport
SHL,Shillong Airport
TRZ,Tiruchirappalli International Airport
AJL,Lengpui Airport
RDP,Kazi Nazrul Islam Airport
HBX,Hubli Airport
SAG,Shirdi Airport
DHM,Kangra Airport
IXP,Pathankot Airport
PNY,Pondicherry Airport
DBD,Dhanbad Airport
HSS,Hisar Airport
,Sirsa Air Force Station
BUP,Bhatinda Air Force Station
JSA,Jaisalmer Airport
,Panagarh Air Force Station
BEP,Bellary Airport
IXX,Bidar Airport / Bidar Air Force Station
,Dundigul Air Force Academy
IXH,Kailashahar Airport
KTU,Kota Airport
REW,"Rewa Airport, Chorhata, REWA"
RRK,Rourkela Airport
,Tuirial Airfield
,Baljek Airport
JGB,Jagdalpur Airport
,Jalgaon Airport
MYQ,Mysore Airport
,Giridih Airport
,Purnea Airport
,Bhilai Airport
,Bhilwara Airport
,Chakulia Airport
,Dhulia Airport
,Nuagaon Airport
JRG,Jharsuguda Airport
,Patiala Airport
,Uttarlai Airport
,Burnpur Airport
,Amreli Airport
,Birwa Airstrip
RGH,Balurghat Airport
,Barrackpore Air Force Station
